Position,Name,Capacity (MW),Operational Units,Region,Country,Coordinates,Latitude,Longitude,Status,Construction ,Commission,Est. Project Cost,Developer,Operator,Owner,Turbine Manufacturer ,Notes,Contact,Position2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Horns Rev 3,400,49,"Kriegers Flak, Baltic Sea",Denmark,"55°42'7""N, 7°41'20""E",55.7019444,7.6888889,Planned/Under Construction,2016,2017,,Vattenfall,Vattenfall,Vattenfall,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,SPIC Binhai North H2,400,100,"Binhai, Jiangsu Province",China,,34.403,120.195,Planned/Under Construction,,N/A,,State Power Investment Corporation (SPIC),,State Power Investment Corporation (SPIC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Rampion,400,112,"Sussex, England",UK,50°40′0″N 0°6′0″W,50.668,-0.275,Planned/Under Construction,,2018,€1.9bn,E.ON Climate & Renewables,E.ON Climate & Renewables,E.ON Climate & Renewables; Enbridge Inc.; UK Green Investment Bank,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MEG Offshore I,400,80,North Sea,Germany,"54°2'0""N, 6°33'0""W",54.0333333,6.55,Planned/Under Construction,2016,N/A,€1.9bn,Mercur Offshore,,Windreich AG; DEME Concessions NV,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,West of Duddon Sands Wind Farm,389,108,"Cumbria, Irish Sea",UK,53.983°N 3.463°W,53.983,-3.463,Operational,2013,2014,£1.6bn,"West of Duddon Sands (Iberdrola, DONG)",DONG Energy,ScottishPower Renewables (Iberdrola Renovables Energia); DONG Energy,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Arkona Becken Südost,385,60,Baltic Sea,Germany,,54.782,14.121,Planned/Under Construction,2016,2019,,E.ON Climate & Renewables; Statoil,,E.ON Climate & Renewables; Statoil,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Norther Wind Farm,370,45,Vlaanderen,Belgium,"51°35′28″N, 2°56′38″E",51.527,3.014,Planned/Under Construction,2017,2018,€1.5bn,SA Norther; Eneco; Elicio,,Eneco; Elicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Walney 1 + 2,367,102,"Cumbria, Irish Sea",UK,54.044°N 3.522°W,54.041,-3.514,Operational,2010,2012,£1.2bn,Walney Offshore Windfarms Ltd,Walney Offshore Windfarms Ltd,SSE; DONG Energy; Ampere Equity Fund; PGGM,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Wikinger Offshore Wind Farm,350,70,Baltic Sea,Germany,,54.834,14.068,Planned/Under Construction,2016,2017,€1.4bn,Iberdrola Renovables Deutschland GmbH,ScottishPower Renewables,"ScottishPower Renewables (Iberdrola Renovables Energia, SA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Arcadis Ost,348,58,Baltic Sea,Germany,"54°48'0 ""N, 13°41'0""E",54.832,13.643,Planned/Under Construction,,2018,€1.4bn,KNK Wind GmbH,,Stadtwerke Bad Vilbel GmbH; KNK Ocean Breeze GmbH; WV Energie AG; iKB Innsbrucker Kommunalbetriebe,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
