ID,Wentworth,Desvio Padrão,Dm,Desv Pad,Assimetria,Curtose,Areia,Silte,Argila,Matéria Orgânica,Carbonato
P35-PP,Areia Grossa,Moderadamente Bem Selecionado,0.9,0.58,0.03,1.02,100.0,0.0,0.0,1.0,1.4
P35-ZS,Areia Muito Grossa,Bem Selecionado,-0.0,0.43,0.24,1.06,100.0,0.0,0.0,0.6,1.6
P35-PF,Areia Muito Fina,Bem Selecionado,3.4,0.49,-0.19,1.14,98.1,1.9,0.0,0.7,2.5
P36-B,Areia Média,Moderadamente Bem Selecionado,1.6,0.54,-0.13,1.08,100.0,0.0,0.0,0.0,1.1
P36-ESP,Areia Grossa,Moderadamente Selecionado,0.7,0.88,0.42,0.89,100.0,0.0,0.0,0.1,1.3
P36-PP,Areia Média,Moderadamente Bem Selecionado,1.4,0.60,-0.14,1.14,100.0,0.0,0.0,0.1,1.2
P36-ZS,Areia Muito Grossa,Moderadamente Bem Selecionado,0.1,0.59,0.50,1.05,100.0,0.0,0.0,0.4,1.4
P36-PF,Areia Muito Fina,Moderadamente Bem Selecionado,3.5,0.50,-0.32,1.31,97.3,2.7,0.0,0.2,1.1
P37-B,Areia Média,Moderadamente Bem Selecionado,1.7,0.59,-0.08,1.19,100.0,0.0,0.0,0.1,1.0
P37-ESP,Areia Grossa,Moderadamente Selecionado,0.3,0.76,0.21,0.97,100.0,0.0,0.0,0.1,2.1
P37-PP,Areia Média,Moderadamente Selecionado,1.0,0.79,-0.16,0.94,100.0,0.0,0.0,0.2,1.4
P37-ZS,Areia Muito Grossa,Moderadamente Bem Selecionado,0.0,0.67,0.29,1.12,100.0,0.0,0.0,0.0,1.0
P37-PF,Areia Fina,Moderadamente Bem Selecionado,2.9,0.64,-0.28,1.29,99.2,0.8,0.0,0.2,1.4
P38-B,Areia Média,Moderadamente Bem Selecionado,1.3,0.53,-0.03,1.02,100.0,0.0,0.0,0.5,1.0
P38-ESP,Areia Grossa,Moderadamente Bem Selecionado,0.3,0.56,0.16,0.81,100.0,0.0,0.0,0.2,1.2
P38-PP,Areia Grossa,Moderadamente Bem Selecionado,0.6,0.56,-0.07,0.95,100.0,0.0,0.0,0.6,1.1
P38-ZS,Areia Muito Grossa,Moderadamente Bem Selecionado,-0.3,0.53,-0.01,1.00,100.0,0.0,0.0,0.0,1.4
P38-PF,Areia Muito Fina,Moderadamente Selecionado,3.2,0.79,-0.42,1.95,98.3,1.7,0.0,0.1,1.4
P39-B,Areia Média,Bem Selecionado,1.3,0.46,-0.06,0.90,100.0,0.0,0.0,0.1,1.8
P39-ESP,Areia Grossa,Moderadamente Bem Selecionado,0.8,0.51,0.08,1.13,100.0,0.0,0.0,0.6,1.4
P39-PP,Areia Média,Moderadamente Bem Selecionado,1.7,0.56,-0.04,1.20,100.0,0.0,0.0,0.1,2.2
P39-ZS,Areia Grossa,Bem Selecionado,0.2,0.48,-0.07,1.13,100.0,0.0,0.0,0.7,1.5
P39-PF,Areia Muito Fina,Moderadamente Selecionado,3.3,0.78,-0.42,1.97,98.4,1.6,0.0,0.5,1.2
